"Localidade";"Ano";"Posição Geográfica - Altitude (m)";"Posição Geográfica - Latitude (texto)";"Posição Geográfica - Longitude (texto)"
"Abadia de Goiás";"2009";"898";"16º 45’ 26” ";"49º 26’ 15” "
"Abadia de Goiás";"2014";"893,6";"";""
"Abadiânia";"2009";"1.052";"16º 12’ 15” ";"48º 42’ 25” "
"Abadiânia";"2014";"1017,55";"";""
"Acreúna";"2009";"542";"17º 23’ 44” ";"50º 22’ 37” "
"Acreúna";"2014";"542,39";"";""
"Adelândia";"2009";"649";"16º 24’ 54” ";"50º 09’ 56” "
"Adelândia";"2014";"641,11";"";""
"Água Fria de Goiás";"2009";"980";"14º 59’ 08” ";"47º 47’ 03” "
"Água Fria de Goiás";"2014";"856,26";"";""
"Água Limpa";"2009";"682";"18º 04’ 25” ";"48º 45’ 44” "
"Água Limpa";"2014";"679,32";"";""
"Águas Lindas de Goiás";"2009";"1.080";"15º 45’ 43” ";"48º 16’ 54” "
"Águas Lindas de Goiás";"2014";"1208,67";"";""
"Alexânia";"2009";"1.096";"16º 04’ 56” ";"48º 30’ 26” "
"Alexânia";"2014";"1076,72";"";""
"Aloândia";"2009";"672";"17º 43’ 38” ";"49º 28’ 49” "
"Aloândia";"2014";"607,58";"";""
"Alto Horizonte";"2009";"375";"14º 11’ 44” ";"49º 20’ 19” "
"Alto Horizonte";"2014";"394,72";"";""
"Alto Paraíso de Goiás";"2009";"1.186";"14º 07’ 57” ";"47º 30’ 36” "
"Alto Paraíso de Goiás";"2014";"1232,61";"";""
"Alvorada do Norte";"2009";"490";"14º 28’ 51” ";"46º 29’ 32” "
"Alvorada do Norte";"2014";"512,13";"";""
"Amaralina";"2009";"550";"13º 55’ 35” ";"49º 17’ 50” "
"Amaralina";"2014";"493,86";"";""
"Americano do Brasil";"2009";"890";"16º 15’ 17” ";"49º 58’ 58” "
"Americano do Brasil";"2014";"891,35";"";""
"Amorinópolis";"2009";"641";"16º 37’ 09” ";"51º 05’ 37” "
"Amorinópolis";"2014";"638,8";"";""
"Anápolis";"2009";"1.017";"16º 19’ 36” ";"48º 57’ 10” "
"Anápolis";"2014";"1023,44";"";""
"Anhanguera";"2009";"561";"18º 20’ 14” ";"48º 13’ 09” "
"Anhanguera";"2014";"546,68";"";""
"Anicuns";"2009";"692";"16º 27’ 40” ";"49º 57’ 42” "
"Anicuns";"2014";"699,96";"";""
"Aparecida de Goiânia";"2009";"808";"16º 49’ 24” ";"49º 14’ 38” "
"Aparecida de Goiânia";"2014";"827";"";""
"Aparecida do Rio Doce";"2009";"700";"18º 17’ 56” ";"51º 08’ 43” "
"Aparecida do Rio Doce";"2014";"569,53";"";""
"Aporé";"2009";"538";"18º 57’ 55” ";"51º 55’ 35” "
"Aporé";"2014";"556,35";"";""
"Araçu";"2009";"716";"16º 21’ 27” ";"49º 40’ 52” "
"Araçu";"2014";"721,94";"";""
"Aragarças";"2009";"310";"15º 53’ 51” ";"52º 15’ 03” "
"Aragarças";"2014";"313,68";"";""
"Aragoiânia";"2009";"859";"16º 54’ 43” ";"49º 27’ 05” "
"Aragoiânia";"2014";"868,76";"";""
"Araguapaz";"2009";"304";"15º 05’ 27” ";"50º 37’ 56” "
"Araguapaz";"2014";"295,33";"";""
"Arenópolis";"2009";"416";"16º 23’ 10” ";"51º 33’ 37” "
"Arenópolis";"2014";"420,9";"";""
"Aruanã";"2009";"250";"14º 55’ 13” ";"51º 04’ 59” "
"Aruanã";"2014";"258,06";"";""
"Aurilândia";"2009";"520";"16º 40’ 54” ";"50º 27’ 53” "
"Aurilândia";"2014";"502,41";"";""
"Avelinópolis";"2009";"729";"16º 27’ 57” ";"49º 45’ 28” "
"Avelinópolis";"2014";"704,45";"";""
"Baliza";"2009";"342";"16º 11’ 46” ";"52º 32’ 42” "
"Baliza";"2014";"356,66";"";""
"Barro Alto";"2009";"605";"14º 58’ 15” ";"48º 54’ 57” "
"Barro Alto";"2014";"596,58";"";""
"Bela Vista de Goiás";"2009";"803";"16º 58’ 22” ";"48º 57’ 12” "
"Bela Vista de Goiás";"2014";"804,47";"";""
"Bom Jardim de Goiás";"2009";"386";"16º 12’ 35” ";"52º 10’ 20” "
"Bom Jardim de Goiás";"2014";"425,12";"";""
"Bom Jesus de Goiás";"2009";"619";"18º 12’ 50” ";"49º 44’ 27” "
"Bom Jesus de Goiás";"2014";"626,34";"";""
"Bonfinópolis";"2009";"948";"16º 37’ 04” ";"48º 57’ 48” "
"Bonfinópolis";"2014";"929,28";"";""
"Bonópolis";"2009";"290";"13º 38’ 11” ";"49º 48’ 37” "
"Bonópolis";"2014";"272,15";"";""
"Brazabrantes";"2009";"761";"16º 25’ 50” ";"49º 23’ 21” "
"Brazabrantes";"2014";"750,65";"";""
"Britânia";"2009";"263";"15º 14’ 28” ";"51º 09’ 38” "
"Britânia";"2014";"258,3";"";""
"Buriti Alegre";"2009";"700";"18º 08’ 39” ";"49º 02’ 36” "
"Buriti Alegre";"2014";"855,67";"";""
"Buriti de Goiás";"2009";"520";"16º 10’ 51” ";"50º 25’ 52” "
"Buriti de Goiás";"2014";"537,93";"";""
"Buritinópolis";"2009";"500";"14º 27’ 27” ";"46º 26’ 14” "
"Buritinópolis";"2014";"544,84";"";""
"Cabeceiras";"2009";"926";"15º 48’ 03” ";"46º 55’ 36” "
"Cabeceiras";"2014";"911,64";"";""
"Cachoeira Alta";"2009";"483";"18º 45’ 48” ";"50º 56’ 30” "
"Cachoeira Alta";"2014";"522,4";"";""
"Cachoeira de Goiás";"2009";"764";"16º 40’ 04” ";"50º 38’ 49” "
"Cachoeira de Goiás";"2014";"778,27";"";""
"Cachoeira Dourada";"2009";"459";"18º 29’ 30” ";"49º 28’ 30” "
"Cachoeira Dourada";"2014";"450,16";"";""
"Caçu";"2009";"469";"18º 33’ 24” ";"51º 07’ 51” "
"Caçu";"2014";"519,12";"";""
"Caiapônia";"2009";"692";"16º 57’ 24” ";"51º 48’ 37” "
"Caiapônia";"2014";"709,82";"";""
"Caldas Novas";"2009";"686";"17º 44’ 30” ";"48º 37’ 30” "
"Caldas Novas";"2014";"689,07";"";""
"Caldazinha";"2009";"866";"16º 42’ 51” ";"49º 00’ 07” "
"Caldazinha";"2014";"853,85";"";""
"Campestre de Goiás";"2009";"651";"16º 45’ 44” ";"49º 41’ 40” "
"Campestre de Goiás";"2014";"642,79";"";""
"Campinaçu";"2009";"690";"13º 47’ 24” ";"48º 34’ 16” "
"Campinaçu";"2014";"692,81";"";""
"Campinorte";"2009";"537";"14º 18’ 41” ";"49º 09’ 04” "
"Campinorte";"2014";"542,27";"";""
"Campo Alegre de Goiás";"2009";"760";"17º 38’ 18” ";"47º 46’ 51” "
"Campo Alegre de Goiás";"2014";"880,71";"";""
"Campo Limpo de Goiás";"2009";"880";"16º 17’ 49” ";"49º 05’ 14” "
"Campo Limpo de Goiás";"2014";"877,86";"";""
"Campos Belos";"2009";"643";"13º 02’ 12” ";"46º 46’ 18” "
"Campos Belos";"2014";"624,8";"";""
"Campos Verdes";"2009";"420";"14º 15’ 28” ";"49º 39’ 27” "
"Campos Verdes";"2014";"397,42";"";""
"Carmo do Rio Verde";"2009";"629";"15º 21’ 13” ";"49º 42’ 27” "
"Carmo do Rio Verde";"2014";"592,44";"";""
"Castelândia";"2009";"450";"18º 05’ 40” ";"50º 13’ 24” "
"Castelândia";"2014";"472,41";"";""
"Catalão";"2009";"835";"18º 09’ 57” ";"47º 56’ 47” "
"Catalão";"2014";"853,3";"";""
"Caturaí";"2009";"763";"16º 26’ 49” ";"49º 29’ 38” "
"Caturaí";"2014";"789,51";"";""
"Cavalcante";"2009";"823";"13º 47’ 51” ";"47º 27’ 30” "
"Cavalcante";"2014";"833,66";"";""
"Ceres";"2009";"571";"15º 18’ 30” ";"49º 35’ 54” "
"Ceres";"2014";"591,56";"";""
"Cezarina";"2009";"596";"16º 58’ 19” ";"49º 46’ 33” "
"Cezarina";"2014";"587,3";"";""
"Chapadão do Céu";"2009";"725";"18º 24’ 27” ";"52º 32’ 56” "
"Chapadão do Céu";"2014";"833,21";"";""
"Cidade Ocidental";"2009";"1.057";"16º 04’ 38” ";"47º 55’ 35” "
"Cidade Ocidental";"2014";"975,96";"";""
"Cocalzinho de Goiás";"2009";"1.152";"15º 47’ 40” ";"48º 46’ 33” "
"Cocalzinho de Goiás";"2014";"1135,07";"";""
"Colinas do Sul";"2009";"535";"14º 09’ 05” ";"48º 04’ 42” "
"Colinas do Sul";"2014";"534,51";"";""
"Córrego do Ouro";"2009";"563";"16º 17’ 38” ";"50º 32’ 53” "
"Córrego do Ouro";"2014";"553,17";"";""
"Corumbá de Goiás";"2009";"962";"15º 55’ 25” ";"48º 48’ 31” "
"Corumbá de Goiás";"2014";"1001,55";"";""
"Corumbaíba";"2009";"633";"18º 08’ 33” ";"48º 33’ 41” "
"Corumbaíba";"2014";"611,48";"";""
"Cristalina";"2009";"1.189";"16º 46’ 07” ";"47º 36’ 49” "
"Cristalina";"2014";"1216,73";"";""
"Cristianópolis";"2009";"802";"17º 11’ 57” ";"48º 42’ 21” "
"Cristianópolis";"2014";"826,49";"";""
"Crixás";"2009";"389";"14º 32’ 56” ";"49º 58’ 09” "
"Crixás";"2014";"363,07";"";""
"Cromínia";"2009";"694";"17º 17’ 12” ";"49º 22’ 53” "
"Cromínia";"2014";"679,07";"";""
"Cumari";"2009";"692";"18º 15’ 47” ";"48º 09’ 04” "
"Cumari";"2014";"725,3";"";""
"Damianópolis";"2009";"746";"14º 33’ 50” ";"46º 10’ 38” "
"Damianópolis";"2014";"766,15";"";""
"Damolândia";"2009";"819";"16º 15’ 09” ";"49º 22’ 12” "
"Damolândia";"2014";"851,12";"";""
"Davinópolis";"2009";"771";"18º 09’ 11” ";"47º 33’ 42” "
"Davinópolis";"2014";"761,01";"";""
"Diorama";"2009";"506";"16º 14’ 03” ";"51º 15’ 20” "
"Diorama";"2014";"505,51";"";""
"Divinópolis de Goiás";"2009";"620";"13º 17’ 42” ";"46º 23’ 35” "
"Divinópolis de Goiás";"2014";"618,67";"";""
"Doverlândia";"2009";"509";"16º 43’ 13” ";"52º 19’ 10” "
"Doverlândia";"2014";"514,06";"";""
"Edealina";"2009";"578";"17º 25’ 26” ";"49º 39’ 48” "
"Edealina";"2014";"548,52";"";""
"Edéia";"2009";"601";"17º 20’ 19” ";"49º 55’ 53” "
"Edéia";"2014";"569,55";"";""
"Estrela do Norte";"2009";"453";"13º 52’ 06” ";"49º 04’ 21” "
"Estrela do Norte";"2014";"466,62";"";""
"Faina";"2009";"360";"15º 26’ 46” ";"50º 21’ 38” "
"Faina";"2014";"368,06";"";""
"Fazenda Nova";"2009";"476";"16º 10’ 59” ";"50º 46’ 47” "
"Fazenda Nova";"2014";"481,25";"";""
"Firminópolis";"2009";"685";"16º 34’ 55” ";"50º 18’ 18” "
"Firminópolis";"2014";"682,22";"";""
"Flores de Goiás";"2009";"440";"14º 26’ 55” ";"47º 03’ 01” "
"Flores de Goiás";"2014";"443";"";""
"Formosa";"2009";"916";"15º 32’ 14” ";"47º 20’ 04” "
"Formosa";"2014";"923,43";"";""
"Formoso";"2009";"569";"13º 39’ 13” ";"48º 52’ 55” "
"Formoso";"2014";"360,89";"";""
"Gameleira de Goiás";"2009";"600";"16º 27’ 23” ";"48º 39’ 44” "
"Gameleira de Goiás";"2014";"978,76";"";""
"Goianápolis";"2009";"982";"16º 30’ 38” ";"49º 01’ 26” "
"Goianápolis";"2014";"991,58";"";""
"Goiandira";"2009";"848";"18º 07’ 54” ";"48º 05’ 06” "
"Goiandira";"2014";"826,27";"";""
"Goianésia";"2009";"640";"15º 19’ 03” ";"49º 07’ 03” "
"Goianésia";"2014";"627,18";"";""
"Goiânia";"2009";"749";"16º 40’ 43” ";"49º 15’ 14” "
"Goiânia";"2014";"753,92";"";""
"Goianira";"2009";"757";"16º 29’ 46” ";"49º 25’ 35” "
"Goianira";"2014";"787,41";"";""
"Goiás";"2009";"496";"15º 56’ 04” ";"50º 08’ 25” "
"Goiás";"2014";"498,57";"";""
"Goiatuba";"2009";"774";"18º 00’ 44” ";"49º 21’ 25” "
"Goiatuba";"2014";"802,51";"";""
"Gouvelândia";"2009";"395";"18º 38’ 33” ";"50º 03’ 58” "
"Gouvelândia";"2014";"452,53";"";""
"Guapó";"2009";"707";"16º 49’ 50” ";"49º 31’ 55” "
"Guapó";"2014";"718,46";"";""
"Guaraíta";"2009";"669";"15º 36’ 51” ";"50º 01’ 26” "
"Guaraíta";"2014";"655,77";"";""
"Guarani de Goiás";"2009";"521";"13º 56’ 09” ";"46º 28’ 49” "
"Guarani de Goiás";"2014";"515,82";"";""
"Guarinos";"2009";"480";"14º 43’ 54” ";"49º 42’ 06” "
"Guarinos";"2014";"410,34";"";""
"Heitoraí";"2009";"658";"15º 43’ 08” ";"49º 49’ 45” "
"Heitoraí";"2014";"657,52";"";""
"Hidrolândia";"2009";"814";"16º 57’ 44” ";"49º 13’ 41” "
"Hidrolândia";"2014";"822,75";"";""
"Hidrolina";"2009";"603";"14º 43’ 28” ";"49º 27’ 54” "
"Hidrolina";"2014";"614,85";"";""
"Iaciara";"2009";"571";"14º 05’ 45” ";"46º 37’ 54” "
"Iaciara";"2014";"582,39";"";""
"Inaciolândia";"2009";"442";"18º 29’ 17” ";"49º 59’ 14” "
"Inaciolândia";"2014";"449,41";"";""
"Indiara";"2009";"550";"17º 08’ 17” ";"49º 59’ 17” "
"Indiara";"2014";"600,3";"";""
"Inhumas";"2009";"770";"16º 21’ 28” ";"49º 29’ 46” "
"Inhumas";"2014";"785,7";"";""
"Ipameri";"2009";"764";"17º 43’ 19” ";"48º 09’ 35” "
"Ipameri";"2014";"773,98";"";""
"Ipiranga de Goiás";"2009";"600";"15º 10’ 01” ";"49º 40’ 09” "
"Ipiranga de Goiás";"2014";"580,19";"";""
"Iporá";"2009";"584";"16º 26’ 31” ";"51º 07’ 04” "
"Iporá";"2014";"582,46";"";""
"Israelândia";"2009";"378";"16º 19’ 04” ";"50º 54’ 29” "
"Israelândia";"2014";"393,47";"";""
"Itaberaí";"2009";"701";"16º 01’ 13” ";"49º 48’ 37” "
"Itaberaí";"2014";"722,24";"";""
"Itaguari";"2009";"687";"15º 55’ 07” ";"49º 36’ 16” "
"Itaguari";"2014";"641,69";"";""
"Itaguaru";"2009";"770";"15º 45’ 30” ";"49º 38’ 03” "
"Itaguaru";"2014";"798,49";"";""
"Itajá";"2009";"442";"19º 04’ 03” ";"51º 32’ 40” "
"Itajá";"2014";"437,95";"";""
"Itapaci";"2009";"557";"14º 57’ 03” ";"49º 32’ 58” "
"Itapaci";"2014";"566,93";"";""
"Itapirapuã";"2009";"348";"15º 49’ 24” ";"50º 36’ 48” "
"Itapirapuã";"2014";"368,11";"";""
"Itapuranga";"2009";"651";"15º 33’ 44” ";"49º 56’ 55” "
"Itapuranga";"2014";"646,52";"";""
"Itarumã";"2009";"474";"18º 46’ 09” ";"51º 20’ 53” "
"Itarumã";"2014";"501,02";"";""
"Itauçu";"2009";"839";"16º 12’ 02” ";"49º 36’ 29” "
"Itauçu";"2014";"840,26";"";""
"Itumbiara";"2009";"448";"18º 25’ 09” ";"49º 12’ 55” "
"Itumbiara";"2014";"461,81";"";""
"Ivolândia";"2009";"637";"16º 36’ 07” ";"50º 47’ 38” "
"Ivolândia";"2014";"629,34";"";""
"Jandaia";"2009";"637";"17º 02’ 55” ";"50º 08’ 46” "
"Jandaia";"2014";"592,68";"";""
"Jaraguá";"2009";"666";"15º 45’ 25” ";"49º 20’ 04” "
"Jaraguá";"2014";"658,44";"";""
"Jataí";"2009";"696";"17º 52’ 53” ";"51º 42’ 52” "
"Jataí";"2014";"724";"";""
"Jaupaci";"2009";"354";"16º 10’ 41” ";"50º 57’ 11” "
"Jaupaci";"2014";"354,97";"";""
"Jesúpolis";"2009";"700";"15º 57’ 05” ";"49º 22’ 26” "
